Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
GOOGL,2023-04-25 16:02:00,1,0.006311523791443657,0.09720000000000001,1.07,1.17
GOOGL,2023-04-25 16:02:00,2,-0.009776854107833948,0.09720000000000001,1.07,1.17
GOOGL,2023-04-25 16:02:00,5,-0.0020458993093188937,0.09720000000000001,1.07,1.17
GOOGL,2023-04-25 16:02:00,10,0.034075862637040336,0.09720000000000001,1.07,1.17
GOOGL,2023-04-25 16:02:00,30,0.09767403397450869,0.09720000000000001,1.07,1.17
GOOGL,2023-02-02 16:02:00,1,-0.008153256898938394,-0.1073,1.18,1.05
GOOGL,2023-02-02 16:02:00,2,0.021668004319745717,-0.1073,1.18,1.05
GOOGL,2023-02-02 16:02:00,5,-0.07526920619462969,-0.1073,1.18,1.05
GOOGL,2023-02-02 16:02:00,10,-0.06664420339699027,-0.1073,1.18,1.05
GOOGL,2023-02-02 16:02:00,30,-0.014997605225917733,-0.1073,1.18,1.05
GOOGL,2022-10-25 16:02:00,1,-0.019645542277636992,-0.1514,1.25,1.06
GOOGL,2022-10-25 16:02:00,2,-0.006797984330906746,-0.1514,1.25,1.06
GOOGL,2022-10-25 16:02:00,5,-0.05605067460920209,-0.1514,1.25,1.06
GOOGL,2022-10-25 16:02:00,10,-0.04205351187649428,-0.1514,1.25,1.06
GOOGL,2022-10-25 16:02:00,30,-0.01284695383168578,-0.1514,1.25,1.06
GOOGL,2022-07-26 16:02:00,1,-0.004618183721971503,-0.0541,1.28,1.21
GOOGL,2022-07-26 16:02:00,2,-0.0038161274811956917,-0.0541,1.28,1.21
GOOGL,2022-07-26 16:02:00,5,0.006413497181821206,-0.0541,1.28,1.21
GOOGL,2022-07-26 16:02:00,10,0.0076591655187161455,-0.0541,1.28,1.21
GOOGL,2022-07-26 16:02:00,30,-0.0006370840393169954,-0.0541,1.28,1.21
GOOGL,2022-04-26 16:09:00,1,0.0024166863837059016,-0.05,1.3,1.23
GOOGL,2022-04-26 16:09:00,2,0.016500663318304527,-0.05,1.3,1.23
GOOGL,2022-04-26 16:09:00,5,0.030545445542856157,-0.05,1.3,1.23
GOOGL,2022-04-26 16:09:00,10,0.0830358570794784,-0.05,1.3,1.23
GOOGL,2022-04-26 16:09:00,30,0.02031567825955538,-0.05,1.3,1.23
GOOGL,2022-02-01 16:02:00,1,-0.00327630412340758,0.12240000000000001,1.37,1.53
GOOGL,2022-02-01 16:02:00,2,-0.007575083619104306,0.12240000000000001,1.37,1.53
GOOGL,2022-02-01 16:02:00,5,-0.04064566114889822,0.12240000000000001,1.37,1.53
GOOGL,2022-02-01 16:02:00,10,-0.03565305429073982,0.12240000000000001,1.37,1.53
GOOGL,2022-02-01 16:02:00,30,-0.023632556727357028,0.12240000000000001,1.37,1.53
GOOGL,2021-10-26 16:00:00,1,-0.015729098644556426,0.19210000000000002,1.17,1.4
GOOGL,2021-10-26 16:00:00,2,-0.0036497434227645825,0.19210000000000002,1.17,1.4
GOOGL,2021-10-26 16:00:00,5,-0.029733839019467318,0.19210000000000002,1.17,1.4
GOOGL,2021-10-26 16:00:00,10,-0.032750828716990296,0.19210000000000002,1.17,1.4
GOOGL,2021-10-26 16:00:00,30,-0.04331538772129749,0.19210000000000002,1.17,1.4
GOOGL,2021-07-27 16:20:00,1,-0.009831691760168182,0.4094,0.97,1.36
GOOGL,2021-07-27 16:20:00,2,-0.011259945019053889,0.4094,0.97,1.36
GOOGL,2021-07-27 16:20:00,5,-0.015141765932362324,0.4094,0.97,1.36
GOOGL,2021-07-27 16:20:00,10,-0.02680380471862248,0.4094,0.97,1.36
GOOGL,2021-07-27 16:20:00,30,-0.012730368179866818,0.4094,0.97,1.36
GOOGL,2021-04-27 16:02:00,1,0.0035916516644669046,0.6618,0.79,1.31
GOOGL,2021-04-27 16:02:00,2,-0.004424208541576446,0.6618,0.79,1.31
GOOGL,2021-04-27 16:02:00,5,-0.020818411389237262,0.6618,0.79,1.31
GOOGL,2021-04-27 16:02:00,10,-0.04365522179283905,0.6618,0.79,1.31
GOOGL,2021-04-27 16:02:00,30,-0.02889168603502334,0.6618,0.79,1.31
PLTR,2025-02-03 16:05:00,1,-0.04256494434361556,0.2655,0.11,0.14
PLTR,2025-02-03 16:05:00,2,0.03723105528239273,0.2655,0.11,0.14
PLTR,2025-02-03 16:05:00,5,0.03241472929711145,0.2655,0.11,0.14
PLTR,2025-02-03 16:05:00,10,-0.04018759369800018,0.2655,0.11,0.14
